image 4935/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4666.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4946/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4677.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4947/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4678.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4948/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4679.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4949/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4680.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4950/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4681.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4951/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4682.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4952/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4683.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4953/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4684.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4954/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4685.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4955/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4686.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4956/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4687.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4957/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4688.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.1ms
image 4958/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4689.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4959/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4690.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 4960/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4691.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.1ms
image 4961/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4692.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4962/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4693.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4963/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4694.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4964/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4695.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4965/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4696.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4966/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4697.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4967/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4698.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4968/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4699.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4969/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4700.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4970/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4701.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4971/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4702.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4972/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4703.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4973/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4704.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4974/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4705.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4975/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4706.JPG: 640x640 narrowleaf_cattail 0.72, phragmites 0.26, purple_loosestrife 0.01, none 0.01, 3.0ms
image 4976/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4707.JPG: 640x640 narrowleaf_cattail 0.92, phragmites 0.08, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4977/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4708.JPG: 640x640 narrowleaf_cattail 0.54, phragmites 0.45, purple_loosestrife 0.01, none 0.01, 3.0ms
image 4978/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4709.JPG: 640x640 narrowleaf_cattail 0.81, phragmites 0.18, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4979/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4710.JPG: 640x640 narrowleaf_cattail 0.78, phragmites 0.21, none 0.00, purple_loosestrife 0.00, 3.0ms
image 4980/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4711.JPG: 640x640 narrowleaf_cattail 0.69, phragmites 0.31, purple_loosestrife 0.00, none 0.00, 3.0ms
image 4981/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4712.JPG: 640x640 phragmites 0.57, narrowleaf_cattail 0.43, purple_loosestrife 0.00, none 0.00, 3.0ms
image 4982/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4713.JPG: 640x640 narrowleaf_cattail 0.59, phragmites 0.41, purple_loosestrife 0.00, none 0.00, 3.0ms
image 4983/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4714.JPG: 640x640 narrowleaf_cattail 0.86, phragmites 0.14, purple_loosestrife 0.00, none 0.00, 3.0ms
image 4984/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4715.JPG: 640x640 phragmites 0.81, narrowleaf_cattail 0.16, purple_loosestrife 0.03, none 0.00, 3.0ms
image 4985/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4716.JPG: 640x640 phragmites 0.74, narrowleaf_cattail 0.22, purple_loosestrife 0.04, none 0.00, 3.0ms
image 4986/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4717.JPG: 640x640 narrowleaf_cattail 0.69, phragmites 0.29, purple_loosestrife 0.02, none 0.00, 3.0ms
image 4987/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4718.JPG: 640x640 narrowleaf_cattail 0.77, phragmites 0.21, purple_loosestrife 0.01, none 0.00, 3.0ms
image 4988/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4719.JPG: 640x640 phragmites 0.71, purple_loosestrife 0.22, narrowleaf_cattail 0.06, none 0.01, 3.0ms
image 4989/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4722.JPG: 640x640 phragmites 0.61, purple_loosestrife 0.32, narrowleaf_cattail 0.06, none 0.01, 3.2ms
image 4990/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4723.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.2ms
image 4991/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4724.JPG: 640x640 narrowleaf_cattail 0.93, phragmites 0.05, purple_loosestrife 0.03, none 0.00, 3.2ms
image 4992/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4725.JPG: 640x640 narrowleaf_cattail 0.87, purple_loosestrife 0.09, phragmites 0.03, none 0.00, 3.2ms
image 4993/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4726.JPG: 640x640 narrowleaf_cattail 1.00, purple_loosestrife 0.00, phragmites 0.00, none 0.00, 3.1ms
image 4994/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4727.JPG: 640x640 narrowleaf_cattail 1.00, purple_loosestrife 0.00, phragmites 0.00, none 0.00, 3.1ms
image 4995/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4728.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 4996/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4729.JPG: 640x640 narrowleaf_cattail 0.96, phragmites 0.04, purple_loosestrife 0.00, none 0.00, 3.0ms
image 4997/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4730.JPG: 640x640 narrowleaf_cattail 0.98, purple_loosestrife 0.02, phragmites 0.00, none 0.00, 3.0ms
image 4998/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4731.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 4999/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4732.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5000/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4733.JPG: 640x640 narrowleaf_cattail 0.96, phragmites 0.04, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5001/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4734.JPG: 640x640 phragmites 0.63, purple_loosestrife 0.32, narrowleaf_cattail 0.04, none 0.01, 3.1ms
image 5002/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4735.JPG: 640x640 narrowleaf_cattail 0.57, phragmites 0.43, purple_loosestrife 0.00, none 0.00, 3.1ms
image 5003/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4736.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.1ms
image 5004/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4737.JPG: 640x640 narrowleaf_cattail 0.97, purple_loosestrife 0.02, phragmites 0.01, none 0.00, 3.0ms
image 5005/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4738.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5006/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4739.JPG: 640x640 narrowleaf_cattail 0.65, phragmites 0.23, purple_loosestrife 0.12, none 0.00, 3.0ms
image 5007/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4740.JPG: 640x640 narrowleaf_cattail 0.96, phragmites 0.03, purple_loosestrife 0.01, none 0.00, 3.0ms
image 5008/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4741.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5009/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4742.JPG: 640x640 narrowleaf_cattail 0.98, phragmites 0.02, purple_loosestrife 0.00, none 0.00, 3.1ms
image 5010/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4743.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.2ms
image 5011/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4744.JPG: 640x640 narrowleaf_cattail 0.82, phragmites 0.12, purple_loosestrife 0.05, none 0.00, 3.1ms
image 5012/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4745.JPG: 640x640 narrowleaf_cattail 0.66, phragmites 0.30, purple_loosestrife 0.04, none 0.00, 3.0ms
image 5013/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4746.JPG: 640x640 phragmites 0.64, purple_loosestrife 0.22, narrowleaf_cattail 0.13, none 0.01, 3.0ms
image 5014/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4747.JPG: 640x640 phragmites 0.82, purple_loosestrife 0.11, narrowleaf_cattail 0.07, none 0.00, 3.0ms
image 5015/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4748.JPG: 640x640 narrowleaf_cattail 0.79, purple_loosestrife 0.16, phragmites 0.05, none 0.00, 3.0ms
image 5016/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4749.JPG: 640x640 narrowleaf_cattail 0.72, purple_loosestrife 0.25, phragmites 0.03, none 0.00, 3.1ms
image 5017/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4750.JPG: 640x640 narrowleaf_cattail 0.80, purple_loosestrife 0.13, phragmites 0.07, none 0.00, 3.0ms
image 5018/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4751.JPG: 640x640 narrowleaf_cattail 0.78, purple_loosestrife 0.20, phragmites 0.02, none 0.00, 3.0ms
image 5019/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4752.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5020/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4753.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5021/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4754.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5022/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4755.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 4.1ms
image 5023/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4756.JPG: 640x640 narrowleaf_cattail 0.98, phragmites 0.02, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5024/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-19-24-4757.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5025/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4758.JPG: 640x640 narrowleaf_cattail 0.75, phragmites 0.24, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5026/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4760.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5027/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4761.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5028/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4763.JPG: 640x640 phragmites 0.87, purple_loosestrife 0.08, narrowleaf_cattail 0.06, none 0.00, 3.0ms
image 5029/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4764.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5030/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4765.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5031/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4766.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 2.9ms
image 5032/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4767.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5033/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4768.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5034/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4769.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5035/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4770.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5036/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4771.JPG: 640x640 narrowleaf_cattail 0.86, phragmites 0.07, purple_loosestrife 0.07, none 0.00, 3.2ms
image 5037/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4772.JPG: 640x640 narrowleaf_cattail 0.98, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5038/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4773.JPG: 640x640 narrowleaf_cattail 1.00, purple_loosestrife 0.00, phragmites 0.00, none 0.00, 3.0ms
image 5039/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4774.JPG: 640x640 narrowleaf_cattail 0.97, phragmites 0.02, purple_loosestrife 0.01, none 0.00, 3.0ms
image 5040/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4775.JPG: 640x640 narrowleaf_cattail 0.86, phragmites 0.09, purple_loosestrife 0.05, none 0.00, 3.0ms
image 5041/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-25-24-4777.JPG: 640x640 narrowleaf_cattail 0.81, phragmites 0.19, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5042/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4778.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5043/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4779.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5044/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4780.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5045/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4781.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5046/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4782.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5047/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4783.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5048/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4784.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5049/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4785.JPG: 640x640 narrowleaf_cattail 0.81, none 0.13, phragmites 0.05, purple_loosestrife 0.01, 3.0ms
image 5050/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4786.JPG: 640x640 narrowleaf_cattail 0.96, phragmites 0.02, purple_loosestrife 0.01, none 0.01, 3.0ms
image 5051/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4787.JPG: 640x640 narrowleaf_cattail 0.83, phragmites 0.09, purple_loosestrife 0.05, none 0.02, 3.0ms
image 5052/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4788.JPG: 640x640 narrowleaf_cattail 0.78, phragmites 0.13, purple_loosestrife 0.07, none 0.02, 3.0ms
image 5053/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4789.JPG: 640x640 narrowleaf_cattail 0.80, purple_loosestrife 0.09, phragmites 0.09, none 0.02, 3.0ms
image 5054/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4790.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5055/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-27-24-4791.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
